epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,36843,1.00254,1.91139,0.25239,0.81916,1.31462,0.8746,0.81581,0.90541,0.66199,0.84548,0.76984,0.83018,0.60418,0.96293,1.56897,0.22967,0.69881,1.28739,0.001189,0.001189,0.001189
91,37296.6,1.00297,1.60802,0.23342,0.72785,1.27253,0.87448,0.81628,0.90583,0.66281,0.84745,0.77047,0.83105,0.60506,0.96147,1.56648,0.22939,0.69766,1.28606,0.00109,0.00109,0.00109
92,37706.1,0.99346,1.58719,0.23239,0.71482,1.26403,0.87656,0.8161,0.90687,0.66398,0.84472,0.77015,0.83065,0.60584,0.96055,1.56268,0.22895,0.69642,1.2846,0.000991,0.000991,0.000991
93,38114.6,0.98743,1.5646,0.23026,0.70989,1.25952,0.87765,0.81534,0.90751,0.66474,0.84707,0.76921,0.83121,0.60617,0.95919,1.56141,0.22857,0.69431,1.28336,0.000892,0.000892,0.000892
94,38523.1,0.985,1.5544,0.2298,0.70446,1.25836,0.87487,0.81783,0.90797,0.66583,0.84644,0.76712,0.83034,0.60682,0.95804,1.55843,0.22824,0.69284,1.28219,0.000793,0.000793,0.000793
95,38931.5,0.98241,1.53955,0.22859,0.69956,1.25156,0.87527,0.8188,0.90829,0.66635,0.84658,0.76969,0.83141,0.60775,0.95633,1.55669,0.22795,0.69133,1.28028,0.000694,0.000694,0.000694
96,39339.9,0.9766,1.5233,0.22794,0.69105,1.24748,0.87828,0.81905,0.90857,0.66735,0.84805,0.76936,0.83168,0.60855,0.95542,1.55435,0.22755,0.69003,1.27924,0.000595,0.000595,0.000595
97,39748,0.97062,1.50835,0.2263,0.69,1.24552,0.87916,0.81943,0.90899,0.66775,0.84578,0.77267,0.833,0.6097,0.95468,1.5521,0.22723,0.68924,1.27826,0.000496,0.000496,0.000496
98,40155.6,0.96903,1.49794,0.22597,0.68653,1.2413,0.88067,0.81913,0.90927,0.66798,0.8467,0.77387,0.83349,0.60976,0.95332,1.54907,0.22688,0.68855,1.27682,0.000397,0.000397,0.000397
99,40563.6,0.96465,1.48593,0.22511,0.68047,1.23796,0.87924,0.81895,0.90957,0.66864,0.84637,0.7733,0.83337,0.61032,0.95279,1.54761,0.22653,0.68713,1.27633,0.000298,0.000298,0.000298
100,40972.5,0.95849,1.4733,0.22441,0.67558,1.23545,0.88057,0.81834,0.90996,0.66915,0.84394,0.77558,0.83418,0.61102,0.95194,1.54622,0.22634,0.68559,1.27538,0.000199,0.000199,0.000199
